"auth.name","2013","2014","2015","2016"
"Argyll and Bute",NA,23.1553233830846,24.5947658402204,38.3381083562902
"Dundee City",14.7028848821082,19.3459752321981,24.7992865105909,27.040815782458
"East Ayrshire",26.85692431562,16.7891493636973,13.392997382199,13.7558659217877
"East Dunbartonshire",NA,NA,NA,77.9413043478261
"East Lothian",NA,NA,NA,33.5357142857143
"East Renfrewshire",72.4602150537634,99.2431279620853,98.7962085308057,97.9481481481481
"Edinburgh City",21.2719760672704,19.801235807523,18.8834909064665,18.5569458225838
"Fife",14.3291820935712,17.7279830405815,16.8768762677485,17.6730025959042
"Glasgow City",24.2323819117976,24.1079278779473,20.4092524321557,23.7871949710439
"Highland",NA,NA,NA,3.88842975206612
"Inverclyde",NA,84.4394904458599,84.6335365853659,81.5189610389611
"Perth and Kinross",14.7068565750248,11.8730109739369,10.3773459383754,10.7830292598967
"Renfrewshire",28.5592662276576,21.8986829727187,20.4146341463415,15.504752851711
"South Ayrshire",29.8332929782082,33.0285161290323,NA,16.6598146588037
"South Lanarkshire",28.4718186024988,31.9290661990355,30.3328188464663,32.1488095238095
"Scottish DPE authorties",22.5473207464804,22.2606496624156,21.2735567352356,22.1604733219743
"London",42.86075797044,40.3615721304768,49.293298662975,42.0115310284194
"England without London",11.9572950366548,10.8661561623561,11.4887200375256,12.7618887614874
